,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Date,Time,Year,Month
116,2019-11-05 11:24:51,10.4S,143.3W,38.0,27.4,5.2,12.3,23.9,110000000000.0,0.33,2019-11-05,11:24:51,2019,November
117,2019-10-22 22:21:15,12.0N,76.0W,40.7,,,,,27000000000.0,0.095,2019-10-22,22:21:15,2019,October
118,2019-10-10 16:16:36,44.3N,122.9E,47.3,14.1,1.5,-12.9,-5.4,206000000000.0,0.57,2019-10-10,16:16:36,2019,October
119,2019-09-28 10:40:20,12.5S,107.2W,52.0,20.4,-10.1,11.2,13.7,23000000000.0,0.082,2019-09-28,10:40:20,2019,September
120,2019-09-27 13:35:46,25.7N,28.4W,,,,,,34000000000.0,0.12,2019-09-27,13:35:46,2019,September
121,2019-09-14 12:39:34,38.6S,33.5W,38.0,15.9,-12.9,8.1,4.6,109000000000.0,0.33,2019-09-14,12:39:34,2019,September
122,2019-09-13 02:02:04,18.6S,126.9E,27.4,13.5,5.2,-8.1,9.5,42000000000.0,0.14,2019-09-13,02:02:04,2019,September
123,2019-09-12 12:49:48,54.5N,9.2E,42.0,18.5,-18.1,-0.4,3.7,169000000000.0,0.48,2019-09-12,12:49:48,2019,September
124,2019-09-12 02:34:58,24.9N,47.8W,30.6,17.2,-11.7,11.7,4.6,59000000000.0,0.19,2019-09-12,02:34:58,2019,September
125,2019-08-24 12:02:59,21.9N,130.4W,39.8,13.4,11.1,-5.2,5.4,40000000000.0,0.13,2019-08-24,12:02:59,2019,August
126,2019-08-22 21:47:29,24.4S,92.9W,30.2,,,,,20000000000.0,0.073,2019-08-22,21:47:29,2019,August
127,2019-08-16 20:36:05,38.9N,7.0E,36.0,14.9,-3.9,4.0,-13.8,25000000000.0,0.089,2019-08-16,20:36:05,2019,August
128,2019-07-23 20:42:58,44.6N,147.6W,30.6,16.1,1.5,15.1,-5.5,255000000000.0,0.69,2019-07-23,20:42:58,2019,July
129,2019-06-30 16:52:58,21.2N,129.5W,59.0,42.3,25.2,31.2,-13.3,32000000000.0,0.11,2019-06-30,16:52:58,2019,June
130,2019-06-30 08:11:29,2.5S,168.7E,,,,,,21000000000.0,0.076,2019-06-30,08:11:29,2019,June
131,2019-06-22 21:25:48,14.9N,66.2W,25.0,14.9,-13.4,6.0,2.5,2947000000000.0,6.0,2019-06-22,21:25:48,2019,June
132,2019-06-20 06:07:32,7.3N,67.6W,37.0,,,,,28000000000.0,0.098,2019-06-20,06:07:32,2019,June
133,2019-05-26 10:07:55,56.6N,25.3W,24.4,17.5,3.8,-5.8,16.1,42000000000.0,0.14,2019-05-26,10:07:55,2019,May
134,2019-05-25 06:44:04,19.2S,89.4E,29.2,15.8,0.2,-15.7,2.1,49000000000.0,0.16,2019-05-25,06:44:04,2019,May
135,2019-05-22 15:16:49,10.8N,37.3W,32.6,,,,,95000000000.0,0.29,2019-05-22,15:16:49,2019,May
136,2019-05-21 13:21:35,38.8S,137.5E,31.5,11.5,4.4,-8.5,6.4,656000000000.0,1.6,2019-05-21,13:21:35,2019,May
137,2019-05-19 14:47:03,23.6S,132.8E,33.3,15.2,7.3,-12.2,5.3,33000000000.0,0.11,2019-05-19,14:47:03,2019,May
138,2019-05-12 22:41:48,6.2N,57.1W,,,,,,21000000000.0,0.076,2019-05-12,22:41:48,2019,May
139,2019-05-04 15:35:46,28.4N,88.3W,26.5,,,,,22000000000.0,0.079,2019-05-04,15:35:46,2019,May
140,2019-04-22 21:42:11,48.8S,67.8E,33.3,11.4,3.4,-4.2,10.0,124000000000.0,0.37,2019-04-22,21:42:11,2019,April
141,2019-04-14 17:54:33,18.3N,74.6W,30.6,15.9,-2.5,5.9,-14.6,29000000000.0,0.1,2019-04-14,17:54:33,2019,April
142,2019-04-06 11:59:09,56.5N,94.9E,41.5,18.1,6.2,11.1,-12.9,70000000000.0,0.22,2019-04-06,11:59:09,2019,April
143,2019-04-04 22:19:01,35.3N,93.9W,,,,,,28000000000.0,0.098,2019-04-04,22:19:01,2019,April
144,2019-03-27 12:50:34,41.8S,7.4W,,,,,,22000000000.0,0.079,2019-03-27,12:50:34,2019,March
145,2019-03-19 02:06:39,24.0S,140.3E,28.7,16.2,10.2,0.4,12.6,20000000000.0,0.073,2019-03-19,02:06:39,2019,March
146,2019-03-15 12:26:56,63.7N,95.7E,31.5,14.4,5.4,-13.2,1.7,46000000000.0,0.15,2019-03-15,12:26:56,2019,March
147,2019-02-18 10:00:43,15.5S,25.3E,26.0,20.8,-16.6,-12.6,0.6,1958000000000.0,4.2,2019-02-18,10:00:43,2019,February
148,2019-02-01 18:17:10,22.5N,83.8W,23.7,16.3,-2.4,13.6,8.7,579000000000.0,1.4,2019-02-01,18:17:10,2019,February
149,2019-01-29 20:47:20,,,,,,,,25000000000.0,0.089,2019-01-29,20:47:20,2019,January
150,2019-01-22 09:18:01,18.0N,6.5E,42.5,11.6,-8.6,-5.9,5.0,36000000000.0,0.12,2019-01-22,09:18:01,2019,January
151,2018-12-23 23:38:03,47.5S,174.4W,31.8,16.5,9.9,7.6,10.8,89000000000.0,0.27,2018-12-23,23:38:03,2018,December
152,2018-12-18 23:48:20,56.9N,172.4E,26.0,13.6,6.3,-3.0,-31.2,31300000000000.0,49.0,2018-12-18,23:48:20,2018,December
153,2018-11-20 17:30:28,25.3N,6.7W,27.4,17.4,-10.1,13.9,3.0,422000000000.0,1.1,2018-11-20,17:30:28,2018,November
154,2018-11-17 21:48:24,47.3N,172.9W,32.5,19.1,7.6,17.3,-2.7,220000000000.0,0.61,2018-11-17,21:48:24,2018,November
155,2018-11-15 08:02:44,42N,57W,,,,,,20000000000.0,0.073,2018-11-15,08:02:44,2018,November
